response_id,survey_id,respondent_name,respondent_email,started_at,completed_at,status,rating,duration_seconds,channel,free_text
28091,5,Rohit Chatterjee,rohit.chatterjee622@example.com,04/03/2026 22:29:03,,abandoned,4,497,kiosk,
27515,5,Rohit Joshi,rohit.joshi471@example.com,23/07/2026 12:57:17,23/07/2026 13:05:16,Completed,3,479,sms,
31041,7,Vikram Gupta,vikram.gupta998@example.com,10/03/2026 00:25:19,10/03/2026 00:29:16,Completed,N/A,237,kiosk,
30744,7,Pooja Fernandes,pooja.fernandes222@example.com,27/03/2026 22:21:09,27/03/2026 22:40:42,completed,4,1173,sms,
28571,6,Rahul Desai,rahul.desai131@example.com,19/04/2026 06:28:35,19/04/2026 06:31:16,Partial,N/A,161,sms,
3330,1,Nisha Rao,nisha.rao806@example.com,25/07/2026 23:12:52,25/07/2026 23:40:00,COMPLETED,2,1628,,
35491,11,Aditya Iyer,aditya.iyer962@example.com,07/06/2026 23:28:06,07/06/2026 23:37:25,Completed,4,559,whatsapp,
18697,5,Divya Desai,divya.desai47@example.com,19/05/2026 02:57:18,19/05/2026 03:07:28,Partial,,610,sms,
11197,3,Priya Fernandes,priya.fernandes941@example.com,26/02/2026 15:31:07,26/02/2026 15:37:31,Partial,3,384,sms,
25302,5,Sanjay Chatterjee,sanjay.chatterjee413@example.com,13/07/2026 04:19:31,13/07/2026 04:31:06,partial,4,695,email,
15293,4,Sneha Reddy,sneha.reddy609@example.com,20/06/2026 03:55:15,20/06/2026 04:20:31,partial,N/A,1516,sms,
7291,3,Sneha Menon,sneha.menon935@example.com,24/03/2026 02:43:20,24/03/2026 02:56:02,Partial,3,762,,
3856,1,Aditya Patel,aditya.patel557@example.com,22/01/2026 01:05:47,22/01/2026 01:14:18,Completed,4,511,sms,
29460,7,Divya Khan,divya.khan909@example.com,13/07/2026 13:41:25,,started,3,1629,sms,
10067,3,Priya Patel,priya.patel595@example.com,02/08/2026 15:47:51,,abandoned,5,1386,whatsapp,
30997,7,Sneha Sharma,sneha.sharma555@example.com,03/05/2026 05:17:45,,abandoned,N/A,1759,email,
19199,5,Rahul Desai,rahul.desai319@example.com,04/04/2026 11:26:44,04/04/2026 11:45:28,Partial,N/A,1124,kiosk,
23357,5,Ananya Iyer,ananya.iyer217@example.com,04/01/2026 05:11:01,04/01/2026 05:27:41,Partial,N/A,1000,,
14943,4,Sneha Iyer,sneha.iyer776@example.com,07/06/2026 22:16:04,07/06/2026 22:37:48,completed,4,1304,sms,
31305,7,Kavya Rao,kavya.rao15@example.com,05/07/2026 04:45:11,05/07/2026 05:02:42,Partial,,1051,,
25625,5,Amit Joshi,amit.joshi185@example.com,14/01/2026 02:31:33,14/01/2026 02:54:06,Completed,5,1353,sms,
16753,5,Arjun Khan,arjun.khan751@example.com,05/07/2026 02:42:02,,abandoned,2,1102,sms,
10928,3,Ananya Fernandes,ananya.fernandes875@example.com,01/07/2026 06:16:56,,started,N/A,500,whatsapp,
17725,5,Rohit Sharma,rohit.sharma763@example.com,18/03/2026 14:09:00,18/03/2026 14:12:13,Completed,N/A,193,email,
7455,3,Karan Desai,karan.desai388@example.com,15/07/2026 21:25:01,15/07/2026 21:46:18,completed,N/A,1277,kiosk,
14981,4,Kavya Bose,kavya.bose50@example.com,01/07/2026 07:55:45,,abandoned,4,546,kiosk,
3136,1,Arjun Fernandes,arjun.fernandes830@example.com,07/06/2026 23:48:00,08/06/2026 00:02:34,COMPLETED,5,874,email,
28696,6,Nisha Khan,nisha.khan672@example.com,18/01/2026 03:20:00,18/01/2026 03:44:04,COMPLETED,1,1444,,
